Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~SysP17_Team10.PrjPcb|ReportField=ProjectFullPath~M:\Altium_Designer\SysP17_Team10\Official\SysP17_Team10.PrjPcb|ReportField=Title~Bill of Materials For Project [SysP17_Team10.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~84|ReportField=ReportTime~16:13:12|ReportField=ReportDate~15.03.2017|ReportField=ReportDateTime~15.03.2017 16:13:12|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~Werdenbergstrasse 4|ReportField=Address2~|ReportField=Address3~9471 Buchs|ReportField=Address4~Switzerland|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~N. Dürr / M. Mettler|ReportField=CheckedBy~|ReportField=CompanyName~NTB|ReportField=CurrentDate~15.03.2017|ReportField=CurrentTime~16:12:45|ReportField=Date~|ReportField=DocumentFullPathAndName~M:\Altium_Designer\SysP17_Team10\Official\SysP_Uebersicht.SchDoc|ReportField=DocumentName~SysP_Uebersicht.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~15.03.2017|ReportField=Organization~NTB Interstate University of Applied|ReportField=Organization1~Sciences of Technology Buchs|ReportField=ProjectName~SysP17_Team10.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=ShortDescription~Schema-Übersicht der ganzen Elektronik|ReportField=Size~A4|ReportField=Time~|ReportField=Title~SysP17_Team10: Übersicht|ReportField=DataSourceFileName~SysP17_Team10.PrjPcb|ReportField=DataSourceFullPath~M:\Altium_Designer\SysP17_Team10\Official\SysP17_Team10.PrjPcb
1|BAT|Laborbuchse|12V, GND|Laborbuchse 2mm|Laborbuchse|2
2|x|X7R MLCC 0805 (2012 Metric)|C1|CAPC0805|C Bipolar 0805|1
3|AVE476M16D16T-F|Aluminum Electrolytic Capacitors for Filtering and Bypass, 47uF, 16V|C1, C2|CDE_CAP AVE CODE D_H|CDE_AVE476M16D16T-F_AVE CODE D|2
4|100nF|C1206|C2|1206|C1206|1
5|10nF|C1206|C3|1206|C1206|1
6|100n|X7R MLCC 0805 (2012 Metric)|C4|CAPC0805|C Bipolar 0805|1
7|22u|X7R MLCC 1206 (3016 Metric)|C5, C6|CAPC1206|C Bipolar 1206|2
8|22uF|X7R MLCC 0805 (2012 Metric)|C7, C8|CAPC0805|C Bipolar 0805|2
9|1uF|X7R MLCC 0805 (2012 Metric)|C9, C10|CAPC0805|C Bipolar 0805|2
10|SK34SMA|SK34SMA|D1|DIOTEC_DO-214AC_1K2A_2_H|DIOTEC_SK34SMA_DO-214AC|1
11|MPC555 Headerboard|NTB MPC555 Headerboard|J1|MPC555 Headerboard THT|MPC555 Headerboard|1
12|CKP2016 4R7M-T|MULTILAYER CHIP POWER INDUCTORS|L1|IND0806|L|1
13|LSR976|Hyper ChipLED, Red,|LED1, LED2, LED3|GEN_LED0805_1K2A_2_H|OSR_LSR976_0805(1K2A)|3
14|Header 4|Header, 4-Pin|Motor 1, Motor 2, Motor 3|HDR1X4|Header 4|3
15|WIFI_A|Header, 4-Pin|P1|PIN2|Header 4|1
16|LED_1|Header, 2-Pin|P2|HDR1X2|Header 2|1
17|LED_2|Header, 2-Pin|P3|HDR1X2|Header 2|1
18|LED_3|Header, 2-Pin|P4|HDR1X2|Header 2|1
19|LED_4|Header, 2-Pin|P5|HDR1X2|Header 2|1
20|LED_5|Header, 2-Pin|P6|HDR1X2|Header 2|1
21|WIFI_B|Header, 5-Pin|P7|HDR1X5|Header 5|1
22|Taster_1|Header, 2-Pin|P8|HDR1X2|Header 2|1
23|Taster_2|Header, 2-Pin|P9|HDR1X2|Header 2|1
